observation_id,timestamp,corridor_id,monitor_point_id,segment_id,openlr,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,delay_seconds,speed_loss_pct,travel_time_ratio,confidence,road_closure
2026-09-25T01:11:56.652010+00:00_MP001,2026-09-25T01:11:56.652010+00:00,COR001,MP001,S001,C7nDMQ5I3QswPvpW9EAKAg==,50,70,265,189,76,28.57142857142857,1.402116402116402,1.0,False
2026-09-25T01:11:56.652010+00:00_MP002,2026-09-25T01:11:56.652010+00:00,COR001,MP002,S001,C7nDMQ5I3QswPvpW9EAKAg==,50,70,265,189,76,28.57142857142857,1.402116402116402,1.0,False
2026-09-25T01:11:56.652010+00:00_MP003,2026-09-25T01:11:56.652010+00:00,COR001,MP003,S002,C7nAjg5DYwoyCP8v/mUKAg==,31,69,58,26,32,55.072463768115945,2.230769230769231,1.0,False
2026-09-25T01:11:56.652010+00:00_MP004,2026-09-25T01:11:56.652010+00:00,COR001,MP004,S002,C7nAaA5DLwsyI/x5+XsKAg==,20,64,375,117,258,68.75,3.2051282051282053,1.0,False
2026-09-25T01:11:56.652010+00:00_MP005,2026-09-25T01:11:56.652010+00:00,COR001,MP005,S003,C7m+ww5AJQoyMPkA+HEKBA==,55,78,187,132,55,29.48717948717949,1.4166666666666667,1.0,False
2026-09-25T01:11:56.652010+00:00_MP006,2026-09-25T01:11:56.652010+00:00,COR001,MP006,S003,C7m+ww5AJQoyMPkA+HEKBA==,55,78,187,132,55,29.48717948717949,1.4166666666666667,1.0,False
2026-09-25T05:57:40.262537+00:00_MP001,2026-09-25T05:57:40.262537+00:00,COR001,MP001,S001,C7nDMQ5I3QswPvpW9EAKAg==,71,71,186,186,0,0.0,1.0,1.0,False
2026-09-25T05:57:40.262537+00:00_MP002,2026-09-25T05:57:40.262537+00:00,COR001,MP002,S001,C7nDMQ5I3QswPvpW9EAKAg==,71,71,186,186,0,0.0,1.0,1.0,False
2026-09-25T05:57:40.262537+00:00_MP003,2026-09-25T05:57:40.262537+00:00,COR001,MP003,S002,C7nAjg5DYwoyCP8v/mUKAg==,69,69,26,26,0,0.0,1.0,1.0,False
2026-09-25T05:57:40.262537+00:00_MP004,2026-09-25T05:57:40.262537+00:00,COR001,MP004,S002,C7nAaA5DLwsyI/x5+XsKAg==,64,64,117,117,0,0.0,1.0,1.0,False
2026-09-25T05:57:40.262537+00:00_MP005,2026-09-25T05:57:40.262537+00:00,COR001,MP005,S003,C7m+ww5AJQoyMPkA+HEKBA==,78,78,132,132,0,0.0,1.0,1.0,False
2026-09-25T05:57:40.262537+00:00_MP006,2026-09-25T05:57:40.262537+00:00,COR001,MP006,S003,C7m+ww5AJQoyMPkA+HEKBA==,78,78,132,132,0,0.0,1.0,1.0,False
2026-09-25T11:39:50.521732+00:00_MP001,2026-09-25T11:39:50.521732+00:00,COR001,MP001,S001,C7nDMQ5I3QswPvpW9EAKAg==,71,71,186,186,0,0.0,1.0,1.0,False
2026-09-25T11:39:50.521732+00:00_MP002,2026-09-25T11:39:50.521732+00:00,COR001,MP002,S001,C7nDMQ5I3QswPvpW9EAKAg==,71,71,186,186,0,0.0,1.0,1.0,False
2026-09-25T11:39:50.521732+00:00_MP003,2026-09-25T11:39:50.521732+00:00,COR001,MP003,S002,C7nAjg5DYwoyCP8v/mUKAg==,69,69,26,26,0,0.0,1.0,1.0,False
2026-09-25T11:39:50.521732+00:00_MP004,2026-09-25T11:39:50.521732+00:00,COR001,MP004,S002,C7nAaA5DLwsyI/x5+XsKAg==,64,64,117,117,0,0.0,1.0,1.0,False
2026-09-25T11:39:50.521732+00:00_MP005,2026-09-25T11:39:50.521732+00:00,COR001,MP005,S003,C7m+ww5AJQoyMPkA+HEKBA==,78,78,132,132,0,0.0,1.0,1.0,False
2026-09-25T11:39:50.521732+00:00_MP006,2026-09-25T11:39:50.521732+00:00,COR001,MP006,S003,C7m+ww5AJQoyMPkA+HEKBA==,78,78,132,132,0,0.0,1.0,1.0,False
2026-09-25T15:24:24.922146+00:00_MP001,2026-09-25T15:24:24.922146+00:00,COR001,MP001,S001,C7nDMQ5I3QswPvpW9EAKAg==,71,71,186,186,0,0.0,1.0,1.0,False
2026-09-25T15:24:24.922146+00:00_MP002,2026-09-25T15:24:24.922146+00:00,COR001,MP002,S001,C7nDMQ5I3QswPvpW9EAKAg==,71,71,186,186,0,0.0,1.0,1.0,False
2026-09-25T15:24:24.922146+00:00_MP003,2026-09-25T15:24:24.922146+00:00,COR001,MP003,S002,C7nAjg5DYwoyCP8v/mUKAg==,69,69,26,26,0,0.0,1.0,1.0,False
2026-09-25T15:24:24.922146+00:00_MP004,2026-09-25T15:24:24.922146+00:00,COR001,MP004,S002,C7nAaA5DLwsyI/x5+XsKAg==,52,63,144,119,25,17.46031746031746,1.2100840336134453,0.99684,False
2026-09-25T15:24:24.922146+00:00_MP005,2026-09-25T15:24:24.922146+00:00,COR001,MP005,S003,C7m+ww5AJQoyMPkA+HEKBA==,55,77,187,133,54,28.57142857142857,1.406015037593985,1.0,False
2026-09-25T15:24:24.922146+00:00_MP006,2026-09-25T15:24:24.922146+00:00,COR001,MP006,S003,C7m+ww5AJQoyMPkA+HEKBA==,55,77,187,133,54,28.57142857142857,1.406015037593985,1.0,False
2026-09-25T16:11:10.835944+00:00_MP001,2026-09-25T16:11:10.835944+00:00,COR001,MP001,S001,C7nDMQ5I3QswPvpW9EAKAg==,71,71,186,186,0,0.0,1.0,1.0,False
2026-09-25T16:11:10.835944+00:00_MP002,2026-09-25T16:11:10.835944+00:00,COR001,MP002,S001,C7nDMQ5I3QswPvpW9EAKAg==,71,71,186,186,0,0.0,1.0,1.0,False
2026-09-25T16:11:10.835944+00:00_MP003,2026-09-25T16:11:10.835944+00:00,COR001,MP003,S002,C7nAjg5DYwoyCP8v/mUKAg==,69,69,26,26,0,0.0,1.0,1.0,False
2026-09-25T16:11:10.835944+00:00_MP004,2026-09-25T16:11:10.835944+00:00,COR001,MP004,S002,C7nAaA5DLwsyI/x5+XsKAg==,64,64,117,117,0,0.0,1.0,1.0,False
2026-09-25T16:11:10.835944+00:00_MP005,2026-09-25T16:11:10.835944+00:00,COR001,MP005,S003,C7m+ww5AJQoyMPkA+HEKBA==,78,78,132,132,0,0.0,1.0,1.0,False
2026-09-25T16:11:10.835944+00:00_MP006,2026-09-25T16:11:10.835944+00:00,COR001,MP006,S003,C7m+ww5AJQoyMPkA+HEKBA==,78,78,132,132,0,0.0,1.0,1.0,False
2026-09-25T16:45:15.025892+00:00_MP001,2026-09-25T16:45:15.025892+00:00,COR001,MP001,S001,C7nDMQ5I3QswPvpW9EAKAg==,71,71,186,186,0,0.0,1.0,1.0,False
2026-09-25T16:45:15.025892+00:00_MP002,2026-09-25T16:45:15.025892+00:00,COR001,MP002,S001,C7nDMQ5I3QswPvpW9EAKAg==,71,71,186,186,0,0.0,1.0,1.0,False
2026-09-25T16:45:15.025892+00:00_MP003,2026-09-25T16:45:15.025892+00:00,COR001,MP003,S002,C7nAjg5DYwoyCP8v/mUKAg==,69,69,26,26,0,0.0,1.0,1.0,False
2026-09-25T16:45:15.025892+00:00_MP004,2026-09-25T16:45:15.025892+00:00,COR001,MP004,S002,C7nAaA5DLwsyI/x5+XsKAg==,64,64,117,117,0,0.0,1.0,1.0,False
2026-09-25T16:45:15.025892+00:00_MP005,2026-09-25T16:45:15.025892+00:00,COR001,MP005,S003,C7m+ww5AJQoyMPkA+HEKBA==,78,78,132,132,0,0.0,1.0,1.0,False
2026-09-25T16:45:15.025892+00:00_MP006,2026-09-25T16:45:15.025892+00:00,COR001,MP006,S003,C7m+ww5AJQoyMPkA+HEKBA==,78,78,132,132,0,0.0,1.0,1.0,False
2026-09-25T17:46:48.419599+00:00_MP001,2026-09-25T17:46:48.419599+00:00,COR001,MP001,S001,C7nDMQ5I3QswPvpW9EAKAg==,71,71,186,186,0,0.0,1.0,1.0,False
2026-09-25T17:46:48.419599+00:00_MP002,2026-09-25T17:46:48.419599+00:00,COR001,MP002,S001,C7nDMQ5I3QswPvpW9EAKAg==,71,71,186,186,0,0.0,1.0,1.0,False
2026-09-25T17:46:48.419599+00:00_MP003,2026-09-25T17:46:48.419599+00:00,COR001,MP003,S002,C7nAjg5DYwoyCP8v/mUKAg==,69,69,26,26,0,0.0,1.0,1.0,False
2026-09-25T17:46:48.419599+00:00_MP004,2026-09-25T17:46:48.419599+00:00,COR001,MP004,S002,C7nAaA5DLwsyI/x5+XsKAg==,64,64,117,117,0,0.0,1.0,1.0,False
2026-09-25T17:46:48.419599+00:00_MP005,2026-09-25T17:46:48.419599+00:00,COR001,MP005,S003,C7m+ww5AJQoyMPkA+HEKBA==,78,78,132,132,0,0.0,1.0,1.0,False
2026-09-25T17:46:48.419599+00:00_MP006,2026-09-25T17:46:48.419599+00:00,COR001,MP006,S003,C7m+ww5AJQoyMPkA+HEKBA==,78,78,132,132,0,0.0,1.0,1.0,False
2026-09-25T18:24:34.950069+00:00_MP001,2026-09-25T18:24:34.950069+00:00,COR001,MP001,S001,C7nDMQ5I3QswPvpW9EAKAg==,71,71,186,186,0,0.0,1.0,1.0,False
2026-09-25T18:24:34.950069+00:00_MP002,2026-09-25T18:24:34.950069+00:00,COR001,MP002,S001,C7nDMQ5I3QswPvpW9EAKAg==,71,71,186,186,0,0.0,1.0,1.0,False
2026-09-25T18:24:34.950069+00:00_MP003,2026-09-25T18:24:34.950069+00:00,COR001,MP003,S002,C7nAjg5DYwoyCP8v/mUKAg==,58,69,31,26,5,15.942028985507244,1.1923076923076923,1.0,False
2026-09-25T18:24:34.950069+00:00_MP004,2026-09-25T18:24:34.950069+00:00,COR001,MP004,S002,C7nAaA5DLwsyI/x5+XsKAg==,64,64,117,117,0,0.0,1.0,1.0,False
2026-09-25T18:24:34.950069+00:00_MP005,2026-09-25T18:24:34.950069+00:00,COR001,MP005,S003,C7m+ww5AJQoyMPkA+HEKBA==,78,78,132,132,0,0.0,1.0,1.0,False
2026-09-25T18:24:34.950069+00:00_MP006,2026-09-25T18:24:34.950069+00:00,COR001,MP006,S003,C7m+ww5AJQoyMPkA+HEKBA==,78,78,132,132,0,0.0,1.0,1.0,False
2026-09-25T18:47:41.949189+00:00_MP001,2026-09-25T18:47:41.949189+00:00,COR001,MP001,S001,C7nDMQ5I3QswPvpW9EAKAg==,58,70,228,189,39,17.142857142857142,1.2063492063492065,1.0,False
2026-09-25T18:47:41.949189+00:00_MP002,2026-09-25T18:47:41.949189+00:00,COR001,MP002,S001,C7nDMQ5I3QswPvpW9EAKAg==,58,70,228,189,39,17.142857142857142,1.2063492063492065,1.0,False
2026-09-25T18:47:41.949189+00:00_MP003,2026-09-25T18:47:41.949189+00:00,COR001,MP003,S002,C7nAjg5DYwoyCP8v/mUKAg==,69,69,26,26,0,0.0,1.0,1.0,False
2026-09-25T18:47:41.949189+00:00_MP004,2026-09-25T18:47:41.949189+00:00,COR001,MP004,S002,C7nAaA5DLwsyI/x5+XsKAg==,64,64,117,117,0,0.0,1.0,1.0,False
2026-09-25T18:47:41.949189+00:00_MP005,2026-09-25T18:47:41.949189+00:00,COR001,MP005,S003,C7m+ww5AJQoyMPkA+HEKBA==,78,78,132,132,0,0.0,1.0,1.0,False
2026-09-25T18:47:41.949189+00:00_MP006,2026-09-25T18:47:41.949189+00:00,COR001,MP006,S003,C7m+ww5AJQoyMPkA+HEKBA==,78,78,132,132,0,0.0,1.0,1.0,False
2026-09-25T19:18:14.531213+00:00_MP001,2026-09-25T19:18:14.531213+00:00,COR001,MP001,S001,C7nDMQ5I3QswPvpW9EAKAg==,43,70,308,189,119,38.57142857142858,1.6296296296296295,1.0,False
2026-09-25T19:18:14.531213+00:00_MP002,2026-09-25T19:18:14.531213+00:00,COR001,MP002,S001,C7nDMQ5I3QswPvpW9EAKAg==,43,70,308,189,119,38.57142857142858,1.6296296296296295,1.0,False
2026-09-25T19:18:14.531213+00:00_MP003,2026-09-25T19:18:14.531213+00:00,COR001,MP003,S002,C7nAjg5DYwoyCP8v/mUKAg==,55,69,33,26,7,20.28985507246377,1.2692307692307692,1.0,False
2026-09-25T19:18:14.531213+00:00_MP004,2026-09-25T19:18:14.531213+00:00,COR001,MP004,S002,C7nAaA5DLwsyI/x5+XsKAg==,33,64,227,117,110,48.4375,1.94017094017094,1.0,False
2026-09-25T19:18:14.531213+00:00_MP005,2026-09-25T19:18:14.531213+00:00,COR001,MP005,S003,C7m+ww5AJQoyMPkA+HEKBA==,59,77,174,133,41,23.37662337662337,1.3082706766917294,1.0,False
2026-09-25T19:18:14.531213+00:00_MP006,2026-09-25T19:18:14.531213+00:00,COR001,MP006,S003,C7m+ww5AJQoyMPkA+HEKBA==,59,77,174,133,41,23.37662337662337,1.3082706766917294,1.0,False
2026-09-25T19:30:22.345392+00:00_MP001,2026-09-25T19:30:22.345392+00:00,COR001,MP001,S001,C7nDMQ5I3QswPvpW9EAKAg==,44,70,301,189,112,37.142857142857146,1.5925925925925926,1.0,False
2026-09-25T19:30:22.345392+00:00_MP002,2026-09-25T19:30:22.345392+00:00,COR001,MP002,S001,C7nDMQ5I3QswPvpW9EAKAg==,44,70,301,189,112,37.142857142857146,1.5925925925925926,1.0,False
2026-09-25T19:30:22.345392+00:00_MP003,2026-09-25T19:30:22.345392+00:00,COR001,MP003,S002,C7nAjg5DYwoyCP8v/mUKAg==,44,68,41,26,15,35.294117647058826,1.5769230769230769,1.0,False
2026-09-25T19:30:22.345392+00:00_MP004,2026-09-25T19:30:22.345392+00:00,COR001,MP004,S002,C7nAaA5DLwsyI/x5+XsKAg==,25,63,300,119,181,60.31746031746032,2.5210084033613445,1.0,False
2026-09-25T19:30:22.345392+00:00_MP005,2026-09-25T19:30:22.345392+00:00,COR001,MP005,S003,C7m+ww5AJQoyMPkA+HEKBA==,57,77,180,133,47,25.97402597402597,1.3533834586466165,1.0,False
2026-09-25T19:30:22.345392+00:00_MP006,2026-09-25T19:30:22.345392+00:00,COR001,MP006,S003,C7m+ww5AJQoyMPkA+HEKBA==,57,77,180,133,47,25.97402597402597,1.3533834586466165,1.0,False
2026-09-25T19:45:23.361670+00:00_MP001,2026-09-25T19:45:23.361670+00:00,COR001,MP001,S001,C7nDMQ5I3QswPvpW9EAKAg==,61,70,217,189,28,12.857142857142856,1.148148148148148,1.0,False
2026-09-25T19:45:23.361670+00:00_MP002,2026-09-25T19:45:23.361670+00:00,COR001,MP002,S001,C7nDMQ5I3QswPvpW9EAKAg==,61,70,217,189,28,12.857142857142856,1.148148148148148,1.0,False
2026-09-25T19:45:23.361670+00:00_MP003,2026-09-25T19:45:23.361670+00:00,COR001,MP003,S002,C7nAjg5DYwoyCP8v/mUKAg==,69,69,26,26,0,0.0,1.0,1.0,False
2026-09-25T19:45:23.361670+00:00_MP004,2026-09-25T19:45:23.361670+00:00,COR001,MP004,S002,C7nAaA5DLwsyI/x5+XsKAg==,43,64,174,117,57,32.8125,1.4871794871794872,1.0,False
2026-09-25T19:45:23.361670+00:00_MP005,2026-09-25T19:45:23.361670+00:00,COR001,MP005,S003,C7m+ww5AJQoyMPkA+HEKBA==,48,77,214,133,81,37.66233766233766,1.6090225563909777,1.0,False
2026-09-25T19:45:23.361670+00:00_MP006,2026-09-25T19:45:23.361670+00:00,COR001,MP006,S003,C7m+ww5AJQoyMPkA+HEKBA==,48,77,214,133,81,37.66233766233766,1.6090225563909777,1.0,False
2026-09-25T20:00:28.601540+00:00_MP001,2026-09-25T20:00:28.601540+00:00,COR001,MP001,S001,C7nDMQ5I3QswPvpW9EAKAg==,61,69,217,192,25,11.594202898550725,1.1302083333333333,1.0,False
2026-09-25T20:00:28.601540+00:00_MP002,2026-09-25T20:00:28.601540+00:00,COR001,MP002,S001,C7nDMQ5I3QswPvpW9EAKAg==,61,69,217,192,25,11.594202898550725,1.1302083333333333,1.0,False
2026-09-25T20:00:28.601540+00:00_MP003,2026-09-25T20:00:28.601540+00:00,COR001,MP003,S002,C7nAjg5DYwoyCP8v/mUKAg==,44,69,41,26,15,36.231884057971016,1.5769230769230769,1.0,False
2026-09-25T20:00:28.601540+00:00_MP004,2026-09-25T20:00:28.601540+00:00,COR001,MP004,S002,C7nAaA5DLwsyI/x5+XsKAg==,34,65,221,115,106,47.69230769230769,1.9217391304347824,1.0,False
2026-09-25T20:00:28.601540+00:00_MP005,2026-09-25T20:00:28.601540+00:00,COR001,MP005,S003,C7m+ww5AJQoyMPkA+HEKBA==,51,78,202,132,70,34.61538461538461,1.5303030303030305,1.0,False
2026-09-25T20:00:28.601540+00:00_MP006,2026-09-25T20:00:28.601540+00:00,COR001,MP006,S003,C7m+ww5AJQoyMPkA+HEKBA==,51,78,202,132,70,34.61538461538461,1.5303030303030305,1.0,False
2026-09-25T20:31:01.331995+00:00_MP001,2026-09-25T20:31:01.331995+00:00,COR001,MP001,S001,C7nDMQ5I3QswPvpW9EAKAg==,51,69,259,192,67,26.08695652173913,1.3489583333333333,1.0,False
2026-09-25T20:31:01.331995+00:00_MP002,2026-09-25T20:31:01.331995+00:00,COR001,MP002,S001,C7nDMQ5I3QswPvpW9EAKAg==,51,69,259,192,67,26.08695652173913,1.3489583333333333,1.0,False
2026-09-25T20:31:01.331995+00:00_MP003,2026-09-25T20:31:01.331995+00:00,COR001,MP003,S002,C7nAjg5DYwoyCP8v/mUKAg==,69,69,26,26,0,0.0,1.0,1.0,False
2026-09-25T20:31:01.331995+00:00_MP004,2026-09-25T20:31:01.331995+00:00,COR001,MP004,S002,C7nAaA5DLwsyI/x5+XsKAg==,47,63,159,119,40,25.396825396825395,1.3361344537815123,1.0,False
2026-09-25T20:31:01.331995+00:00_MP005,2026-09-25T20:31:01.331995+00:00,COR001,MP005,S003,C7m+ww5AJQoyMPkA+HEKBA==,54,78,190,132,58,30.76923076923077,1.4393939393939394,1.0,False
2026-09-25T20:31:01.331995+00:00_MP006,2026-09-25T20:31:01.331995+00:00,COR001,MP006,S003,C7m+ww5AJQoyMPkA+HEKBA==,54,78,190,132,58,30.76923076923077,1.4393939393939394,1.0,False
